Companynumber,Companyname,Latitude,Longitude,Sector,cluster,Region
09384597,Automata,51.532628,-0.107761,Advanced Manufacturing,14,London
09431562,FeedCo,50.687233,-3.424872,Advanced Manufacturing,0,Devon
09594759,3 Line Electrical,50.740881,-1.949899,Advanced Manufacturing,22,Dorset
09597086,Emplas,52.300972,-0.739971,Advanced Manufacturing,0,South East Midlands
09611104,A & J Holdings (Spalding) Limited,52.805345,-0.143787,Advanced Manufacturing,0,Greater Lincolnshire
09689612,Inductosense,51.441485,-2.56181,Advanced Manufacturing,19,West of England CA
09745318,Iconichem Widnes,53.363404,-2.709189,Advanced Manufacturing,27,Greater Manchester CA
09747874,NH Trading,53.486285,-2.345959,Advanced Manufacturing,27,Greater Manchester CA
09772435,Nexudus,51.480402,-0.110227,Advanced Manufacturing,14,London
09775617,Prep Kitchen,51.416176,0.319808,Advanced Manufacturing,0,Kent
09797043,HS Components,53.701165,-1.606388,Advanced Manufacturing,10,West Yorkshire CA
09826773,Blighter Surveillance Systems,52.060501,0.194633,Advanced Manufacturing,0,Essex
09861678,Nationwide Engineering Group,51.175338,-1.759204,Advanced Manufacturing,0,Swindon and Wiltshire
09864205,Cleo,51.52422,-0.076856,Advanced Manufacturing,14,London
09866989,Map of Ag,54.665081,-2.766248,Advanced Manufacturing,0,Cumbria
09882159,Mind Foundry,51.776794,-1.262527,Advanced Manufacturing,29,Oxfordshire
09888099,Xelix,51.530169,-0.075481,Advanced Manufacturing,14,London
09889431,Paragraf,52.382714,-0.012013,Advanced Manufacturing,0,Cambridgeshire and Peterborough
09890153,Webbs,51.406664,-1.131393,Advanced Manufacturing,0,Thames Valley Berkshire
09911823,ModSafe,51.545075,-2.564341,Advanced Manufacturing,19,West of England CA
09924516,VivaCity,51.529324,-0.085955,Advanced Manufacturing,14,London
09929727,Sapphire Balconies,51.437665,-0.969986,Advanced Manufacturing,30,Thames Valley Berkshire
09935841,Panificio Italiano,51.513834,-0.506633,Advanced Manufacturing,14,London
09958102,DiffBlue,51.756423,-1.264496,Advanced Manufacturing,29,Oxfordshire
09964973,Podpak,51.352568,-2.566781,Advanced Manufacturing,0,West of England CA
09973282,Secondmind,52.191683,0.133697,Advanced Manufacturing,21,Cambridgeshire and Peterborough
10001467,Osler Diagnostics,51.752564,-1.265674,Advanced Manufacturing,29,Oxfordshire
10010945,Sigma Precision Components,52.537089,-1.413622,Advanced Manufacturing,25,West Midlands CA
10027360,Elecro Engineering,51.894055,-0.204498,Advanced Manufacturing,0,Hertfordshire
10043949,AccelerComm,50.961791,-1.430389,Advanced Manufacturing,23,Solent
10058237,Serious Stages,51.207461,-2.632079,Advanced Manufacturing,0,Somerset
10067127,Fletchers Propco Limited,53.486007,-2.354667,Advanced Manufacturing,27,Greater Manchester CA
10075021,Bova UK,51.527017,-0.261862,Advanced Manufacturing,14,London
10084565,Hydrachem,51.011846,-0.453254,Advanced Manufacturing,0,Coast to Capital
10121740,iPac,54.96499,-1.58904,Advanced Manufacturing,18,North East CA
10124700,Xeal Pharma,52.488329,-1.869501,Advanced Manufacturing,25,West Midlands CA
10128688,NPS Engineering Group,53.784327,-1.752781,Advanced Manufacturing,10,West Yorkshire CA
10130024,Crucial Engineering,53.772487,-1.726723,Advanced Manufacturing,10,West Yorkshire CA
10135090,EnviroBuild,51.52558,-0.097933,Advanced Manufacturing,14,London
10195499,Watson Gym Equipment,51.244162,-2.294864,Advanced Manufacturing,0,Somerset
10199334,Harvey Shopfitters,51.438104,-2.522967,Advanced Manufacturing,19,West of England CA
10213240,Vape Dinner Lady,53.731954,-2.453034,Advanced Manufacturing,28,Lancashire
10241871,MS-RT,51.717929,-3.002443,Advanced Manufacturing,0,Wales
10266028,Universal Fabrications,52.523022,-1.451586,Advanced Manufacturing,25,West Midlands CA
10266695,SHD Composites,53.01082,-0.394798,Advanced Manufacturing,0,Greater Lincolnshire
10271134,Tropic,52.624762,1.224517,Advanced Manufacturing,0,New Anglia
10301179,The Umbrella Company,53.374446,-1.39512,Advanced Manufacturing,26,South Yorkshire CA
10304048,Oil Recoveries,53.650211,-3.001158,Advanced Manufacturing,0,Liverpool City Region CA
10304694,QuantSpark,51.50639,-0.104079,Advanced Manufacturing,14,London
10305262,Winnow,51.527626,-0.083849,Advanced Manufacturing,14,London
10307947,Capital Concrete,51.28559,0.546603,Advanced Manufacturing,0,Kent
10318509,Hydralectric,51.339906,-0.478982,Advanced Manufacturing,0,Surrey
10330401,Taylor Engineering & Plastics,53.614291,-2.148715,Advanced Manufacturing,27,Greater Manchester CA
10332738,Slaters Electricals,54.96451,-1.687628,Advanced Manufacturing,18,North East CA
10361418,Hanbury Strategy,51.505239,-0.089098,Advanced Manufacturing,14,London
10381083,PillTime,51.521294,-2.617303,Advanced Manufacturing,19,West of England CA
10384692,Turbo Power Systems,54.940495,-1.619727,Advanced Manufacturing,18,North East CA
10427830,Shenton Group,51.217549,-1.454526,Advanced Manufacturing,0,Hampshire area
10469103,UNLIMITED,51.512378,-0.135955,Advanced Manufacturing,14,London
10469334,NBJ,52.439575,-1.052142,Advanced Manufacturing,0,Leicester and Leicestershire
10476159,Action Circuits,51.888829,-0.451669,Advanced Manufacturing,0,South East Midlands
10483302,Everglade Windows,51.536387,-0.31487,Advanced Manufacturing,14,London
10509073,Timber Frame Management,52.748169,0.419074,Advanced Manufacturing,0,New Anglia
10524316,The Greenhouse People,52.949187,-2.035036,Advanced Manufacturing,0,Stoke-on-Trent and Staffordshire
10535890,Park Cakes,53.523624,-2.109496,Advanced Manufacturing,27,Greater Manchester CA
10539230,Repair and Assure,50.822449,-0.140064,Advanced Manufacturing,0,Coast to Capital
10576603,GJB Group,53.009271,-2.156759,Advanced Manufacturing,0,Stoke-on-Trent and Staffordshire
10591225,Xtera,51.597379,0.239344,Advanced Manufacturing,0,London
10607947,SSS Super Alloys,53.398404,-1.434139,Advanced Manufacturing,26,South Yorkshire CA
10610457,Goodfish,52.697621,-2.004629,Advanced Manufacturing,25,West Midlands CA
10610463,D&M Design & Fabrication,54.168185,-1.631108,Advanced Manufacturing,0,York and North Yorkshire CA
10617905,Granada Secondary Glazing,53.374501,-1.222593,Advanced Manufacturing,26,South Yorkshire CA
10621297,Greenshields JCB,51.1785,-0.845658,Advanced Manufacturing,0,Hampshire area
10633736,Newfield Fabrications,53.138873,-2.404718,Advanced Manufacturing,0,Cheshire and Warrington
10635312,Hambleton Steel,54.401253,-1.659752,Advanced Manufacturing,0,York and North Yorkshire CA
10648424,Tatti Lashes,53.472425,-2.967169,Advanced Manufacturing,27,Greater Manchester CA
10656583,2 Excel (Holdings) Limited,52.301259,-0.790648,Advanced Manufacturing,0,South East Midlands
10667599,Stuart Power,52.495795,0.933958,Advanced Manufacturing,0,New Anglia
10681002,The Direct Co Group,51.590161,0.043485,Advanced Manufacturing,14,London
10701446,Poole Bay Holdings,50.742006,-1.985046,Advanced Manufacturing,22,Dorset
10735522,Luscombe Motors,53.781566,-1.527041,Advanced Manufacturing,10,West Yorkshire CA
10748025,Sparks Commercial Services,50.903094,-1.487992,Advanced Manufacturing,23,Solent
10796456,Applied Automation,50.386806,-4.017099,Advanced Manufacturing,0,Devon
10810410,Task Corporation Holdings Limited,52.664194,-1.113377,Advanced Manufacturing,25,West Midlands CA
10811799,PRF Composite Materials,50.737987,-1.992162,Advanced Manufacturing,22,Dorset
10874252,Leisure Electronics,53.778156,-0.345564,Advanced Manufacturing,0,Hull and East Yorkshire
10895764,MoA Technology,51.716507,-1.218041,Advanced Manufacturing,29,Oxfordshire
10899722,Williams Jet Tenders,51.666741,-1.16988,Advanced Manufacturing,29,Oxfordshire
10903221,The Swift Group,53.797782,-0.406908,Advanced Manufacturing,0,Hull and East Yorkshire
10940352,Superior Wellness,53.27158,-1.449249,Advanced Manufacturing,0,East Midlands CCA
11020147,Bryken,53.459297,-2.870749,Advanced Manufacturing,27,Greater Manchester CA
11027715,Cutwel,53.732359,-1.716357,Advanced Manufacturing,10,West Yorkshire CA
11052295,HD Sharman,53.324086,-1.909686,Advanced Manufacturing,0,East Midlands CCA
11054128,Champion Contract Services,54.540864,-0.77684,Advanced Manufacturing,0,York and North Yorkshire CA
11059491,Electra Commercial Vehicles,53.696626,-1.763501,Advanced Manufacturing,10,West Yorkshire CA
11085980,Brooksby Projects,51.52727,-0.128599,Advanced Manufacturing,14,London
11088920,The HEX Group,52.828869,-1.999567,Advanced Manufacturing,0,Stoke-on-Trent and Staffordshire
11098153,IrisGuard,52.015692,-0.794016,Advanced Manufacturing,0,South East Midlands
11118150,Murray Group,50.368274,-4.155731,Advanced Manufacturing,0,Devon
11148347,Access Platform Sales,52.39423,-0.266619,Advanced Manufacturing,0,Cambridgeshire and Peterborough
11158850,IFA,53.404847,-1.491904,Advanced Manufacturing,26,South Yorkshire CA
11180756,UKCG Group,53.022852,-1.480984,Advanced Manufacturing,24,East Midlands CCA
11180794,Lattimer,53.639074,-3.004388,Advanced Manufacturing,0,Liverpool City Region CA
11183199,Kingsway Group,51.412562,0.122846,Advanced Manufacturing,14,London
11196353,B&P Fabrications,52.615631,-1.131786,Advanced Manufacturing,25,West Midlands CA
11199647,Oriens Aviation,51.322755,0.036458,Advanced Manufacturing,0,London
11204870,Bridge Baker,51.472452,-0.191796,Advanced Manufacturing,14,London
11209295,Arista Electronic Systems,51.60289,-0.69579,Advanced Manufacturing,0,Buckinghamshire
11236905,Ricor,52.276314,-1.895622,Advanced Manufacturing,0,Warwickshire
11243043,Garnalex,53.050497,-1.469583,Advanced Manufacturing,24,East Midlands CCA
11255054,Process Control Equipment,54.521401,-1.29393,Advanced Manufacturing,0,Tees Valley CA
11267590,Sudbury Silk Mills,52.03624,0.739162,Advanced Manufacturing,0,New Anglia
11267668,Merlin Diesel,53.723898,-2.649086,Advanced Manufacturing,0,Lancashire
11305066,Goonhilly Earth Station,50.056743,-5.185361,Advanced Manufacturing,0,Cornwall and Isles of Scilly
11339165,ACV,52.695491,-1.344918,Advanced Manufacturing,25,West Midlands CA
11357499,Corin Group,51.701288,-1.961193,Advanced Manufacturing,0,Gloucestershire
11377708,BF1 Solutions Limited,52.375092,1.123223,Advanced Manufacturing,0,New Anglia
11379796,WD Close,54.989714,-1.527681,Advanced Manufacturing,18,North East CA
11382223,Mansell Building Solutions,53.532183,-2.168839,Advanced Manufacturing,27,Greater Manchester CA
11383949,Latham's Steel Security Doors,52.512199,-2.042225,Advanced Manufacturing,25,West Midlands CA
11416356,Sunnamusk,51.518131,-0.039838,Advanced Manufacturing,14,London
11430011,Mailway Packaging Solutions,53.783423,-1.750267,Advanced Manufacturing,10,West Yorkshire CA
11434186,Nylacast,52.661876,-1.093359,Advanced Manufacturing,25,West Midlands CA
11459949,Advanced Tooling Systems UK,51.235917,0.55939,Advanced Manufacturing,0,Kent
11501975,Totally Wicked,53.738169,-2.497141,Advanced Manufacturing,28,Lancashire
11506093,Metalex,50.714779,-2.07589,Advanced Manufacturing,0,Dorset
11518944,AWD-IT,53.044196,-2.245515,Advanced Manufacturing,0,Stoke-on-Trent and Staffordshire
11537226,Olympus Global,52.531809,-2.031866,Advanced Manufacturing,25,West Midlands CA
11574547,Partic Motor Spares,53.083166,-0.78972,Advanced Manufacturing,0,East Midlands CCA
11580124,USP Steels,52.499647,-2.145269,Advanced Manufacturing,25,West Midlands CA
11665426,Morvern Group,53.030596,-1.408571,Advanced Manufacturing,24,East Midlands CCA
11682301,Shield Sights,50.720443,-1.889573,Advanced Manufacturing,22,Dorset
11703378,Beagle Aircraft,50.736106,-1.769698,Advanced Manufacturing,22,Dorset
11705122,ALLpaQ Packaging Group,53.359224,-2.782596,Advanced Manufacturing,27,Greater Manchester CA
11714764,Startin Group,52.310646,-1.884071,Advanced Manufacturing,0,Worcestershire
11730838,Strongdor,54.060573,-2.840701,Advanced Manufacturing,0,Lancashire
11738356,Lloyd,54.922107,-2.949807,Advanced Manufacturing,0,Cumbria
11750937,Bloom Boutique,50.431031,-3.685415,Advanced Manufacturing,0,Devon
11760169,Capital Coated Steel,51.616619,-3.139679,Advanced Manufacturing,0,Wales
11795631,OCF Holdings Limited,53.472243,-1.473051,Advanced Manufacturing,26,South Yorkshire CA
11797241,Hunt Forest Group,51.139746,-1.420252,Advanced Manufacturing,0,Hampshire area
11812587,Ai4process,51.514318,-0.104932,Advanced Manufacturing,14,London
11838116,X-Cel Holdings Limited,53.387225,-1.383903,Advanced Manufacturing,26,South Yorkshire CA
11842783,Mo-Sys Engineering,51.493464,0.005836,Advanced Manufacturing,14,London
11843593,ASG Group,53.404896,-2.188174,Advanced Manufacturing,27,Greater Manchester CA
11867400,Advanced Alloy Services,53.376765,-1.228024,Advanced Manufacturing,26,South Yorkshire CA
11868858,Elliott Baxter & Co,51.274823,-0.725545,Advanced Manufacturing,30,Thames Valley Berkshire
11896579,Engineered Performance Coatings,51.500392,-3.115065,Advanced Manufacturing,0,Wales
11897141,Yeo Valley,51.324515,-2.722996,Advanced Manufacturing,0,West of England CA
11911024,Reliance Medical,53.083825,-2.267926,Advanced Manufacturing,0,Stoke-on-Trent and Staffordshire
11921237,Steven Eagell Group,52.014276,-0.744495,Advanced Manufacturing,0,South East Midlands
11941376,Debenhams Group,53.481228,-2.232857,Advanced Manufacturing,27,Greater Manchester CA
11952499,EFS,51.218386,-2.9676,Advanced Manufacturing,0,Somerset
11962051,Misco,52.298042,-0.61784,Advanced Manufacturing,0,South East Midlands
11966406,Fabulosa,53.112219,-2.593719,Advanced Manufacturing,0,Cheshire and Warrington
11978407,Wayland Additive,53.625279,-1.804646,Advanced Manufacturing,10,West Yorkshire CA
12009187,Nourished,52.502962,-1.975201,Advanced Manufacturing,25,West Midlands CA
12012631,Oldham Seals,50.830509,-0.758241,Advanced Manufacturing,0,Coast to Capital
12027928,Ultima,51.43138,-0.969998,Advanced Manufacturing,30,Thames Valley Berkshire
12039938,Reginson Engineering,52.523022,-1.451586,Advanced Manufacturing,25,West Midlands CA
12058179,Advanced Electric Machines,54.894302,-1.49738,Advanced Manufacturing,18,North East CA
12085026,Beacon International,52.441408,-0.819228,Advanced Manufacturing,0,South East Midlands
12092493,The Betts Group,52.489212,-1.910852,Advanced Manufacturing,25,West Midlands CA
12123195,EU Automation,52.816916,-2.087704,Advanced Manufacturing,0,Stoke-on-Trent and Staffordshire
12123647,Greenmill,51.924414,0.939377,Advanced Manufacturing,0,Essex
12154703,O&H Vehicle Conversions,53.701815,-0.892675,Advanced Manufacturing,0,Hull and East Yorkshire
12224864,Arkay Windows,51.641646,-0.426403,Advanced Manufacturing,14,London
12283628,Maycast-Nokes,51.941436,0.638158,Advanced Manufacturing,0,Essex
12309335,Delta Fire,52.635634,1.37396,Advanced Manufacturing,0,New Anglia
12310063,Window Widgets,51.807624,-2.29109,Advanced Manufacturing,20,Gloucestershire
12325826,Severn,51.83132,-2.27422,Advanced Manufacturing,20,Gloucestershire
