CompanyNumber,CompanyName,BestEstimateEmployees,BestEstimateTurnover,WomenLed,IUK_GBP,Investment_GBP,RegisteredPostcode,Homepage_domain,financials_source
09382572,Nason Davis,69.0,56285900.0,0,0.0,,,,BH
09383897,Agile Applications,49.0,3184332.0,0,0.0,153213.85,,,BH
09384380,South Manchester Senior Care,85.0,,0,0.0,,,,BH
09384597,Automata,145.0,6147398.0,0,240402.0,81412471.73,,,BH
09384953,Habito,80.0,6891418.0,0,0.0,71813646.75,,,BH
09385162,Godfrey Group Facilities,192.0,,0,0.0,,,,BH
09430964,Apollo Home Healthcare,160.0,0.0,0,0.0,,,,BH
09431562,FeedCo,37.0,47715125.0,0,0.0,,,,BH
09433773,Highbury Recruitment,64.0,,0,0.0,,,,BH
09435167,Big Bus Tours,1182.0,219820090.0,0,0.0,24640582.37,,,BH
09435170,SunShine Co.,119.0,,0,0.0,,,,BH
09437056,Pensionhelp,37.0,3559752.0,0,0.0,,,,BH
09480268,Banana Moon Bridgend,53.0,,1,0.0,,,,BH
09480860,RPG Chartered Financial Planners,102.0,8659142.0,0,0.0,,,,BH
09482842,Care 4 Care,85.0,,0,0.0,,,,BH
09482990,The Old Kent Barn,82.0,,1,0.0,,,,BH
09484935,Evergreen Life,471.0,35475.0,0,707710.0,33336273.15,,,BH
09535061,Edge Restaurants,2069.0,84124190.0,0,0.0,,,,BH
09535144,ScreenCloud,115.0,18190458.0,0,0.0,6475823.85,,,BH
09535522,Kinderview Children's Day Nursery,54.0,,1,0.0,,,,BH
09536934,Pure Technology Group,159.0,62230268.0,0,0.0,,,,BH
09537047,Yoti,403.0,20269643.0,0,0.0,70682530.2,,,BH
09548683,Motor Fuel Group,1174.0,7034300000.0,0,0.0,,,,BH
09552547,Burger & Beyond,23.0,,0,0.0,300000.25,,,BH
09553255,Moneyfarm,236.0,24387000.0,0,0.0,164687877.7,,,BH
09555467,Karmad Limited,92.0,,0,0.0,,,,BH
09555915,Brand Healthcare Services,41.0,,1,0.0,,,,BH
09556834,FT FOODS Limited,571.0,38547931.0,0,0.0,,,,BH
09556990,CLP Group FS,99.0,,0,0.0,,,,BH
09557283,One Agency Media,51.0,,1,0.0,,,,BH
09557401,Minton Care Hotels,89.0,,0,0.0,,,,BH
09558540,MCP,150.0,21107125.0,0,0.0,,,,BH
09559628,City Health Practice,45.0,1941644.0,0,0.0,,,,BH
09560186,Pacific Support Services,63.0,,0,0.0,,,,BH
09560618,Claire's School Solutions,80.0,,1,0.0,,,,BH
09563626,Caremark Broxtowe & Erewash,60.0,,0,0.0,,,,BH
09564631,Founders Factory,8.0,39344.0,0,726895.0,47300000.0,,,BH
09564906,KAS Metal Trading,22.0,76311006.0,0,0.0,,,,BH
09565202,Vertical Travel Group,75.0,17520982.0,0,0.0,,,,BH
09566846,Blyth Group,111.0,20940443.0,1,0.0,,,,BH
09566888,J Rose Care,30.0,,1,0.0,,,,BH
09585686,MedGen Healthcare,45.0,12180548.0,0,0.0,,,,BH
09587905,Saranac Partners,55.0,13675159.0,0,0.0,32974830.66,,,BH
09587927,Kbeverage,676.0,36191910.0,1,0.0,,,,BH
09588207,Everoze,124.0,15628281.0,1,0.0,377888.0,,,BH
09588264,Southern Counties Leisure,10.0,9429610.0,1,0.0,,,,BH
09588685,TCS Group,78.0,29638094.0,0,0.0,,,,BH
09588978,Shine Wraparound Care Limited,144.0,,0,0.0,,,,BH
09591459,Gri Libra Limited,73.0,39525726.0,0,0.0,,,,BH
09591546,Shields,201.0,26905000.0,0,0.0,,,,BH
09592690,Complete Co-Packing Services,35.0,3903416.0,1,0.0,,,,BH
09593166,Caremark Watford & Hertsmere,42.0,,1,0.0,,,,BH
09593429,Search4Local,71.0,,0,0.0,,,,BH
09593533,Sova,47.0,5626603.0,0,0.0,13186647.37,,,BH
09593554,Tom Dixon,130.0,26753687.0,0,0.0,,,,BH
09594759,3 Line Electrical,129.0,32248600.0,0,0.0,,,,BH
09595581,Home from Home,55.0,,1,0.0,,,,BH
09596061,Omega Life,127.0,,0,0.0,,,,BH
09597086,Emplas,545.0,68542792.0,0,0.0,,,,BH
09597755,Moneybox,410.0,63347803.0,0,0.0,99846288.6,,,BH
09597951,Green Days Day Care,31.0,,1,0.0,,,,BH
09598332,Avenue Tennis,53.0,96026.0,0,0.0,,,,BH
09602565,Iglu,379.0,77268510.0,0,0.0,60000000.0,,,BH
