Sector,Investor,CompaniesBackedInSector,InvestorType,Country,PensionSWF,BBBBacked,FundingBucket
Advanced Manufacturing,HSBC,31,Bank,United Kingdom,,TRUE,Bank/Loan
Advanced Manufacturing,Business Angel(s),30,Business Angel(s),,,FALSE,Named
Advanced Manufacturing,British Business Bank,24,Central Government,United Kingdom,,FALSE,Government
Advanced Manufacturing,IP Group,14,Commercialisation Company,United Kingdom,,FALSE,Named
Advanced Manufacturing,BGF (formerly Business Growth Fund),12,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Lloyds Banking Group,12,Private Equity and Venture Capital,United Kingdom,,FALSE,Bank/Loan
Advanced Manufacturing,Octopus Group,8,Asset Management / Private Equity,United Kingdom,,FALSE,Named
Advanced Manufacturing,Santander,8,Bank,Spain,,TRUE,Named
Advanced Manufacturing,Virgin Money UK,8,Bank,United Kingdom,,FALSE,Named
Advanced Manufacturing,Asset and Equipment Finance,7,Bank,United Kingdom,,FALSE,Named
Advanced Manufacturing,Barclays,7,Bank,United Kingdom,,TRUE,Bank/Loan
Advanced Manufacturing,FW Capital,7,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,NatWest Group,7,Bank,United Kingdom,,TRUE,Named
Advanced Manufacturing,Future Planet Capital,6,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Phoenix Court Group,6,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Mercia Asset Management,5,Asset Management / Private Equity,United Kingdom,,TRUE,Named
Advanced Manufacturing,Oxford Science Enterprises,5,Commercialisation Company,United Kingdom,,FALSE,Named
Advanced Manufacturing,Deutsche Bank,4,Private Equity and Venture Capital,China,,FALSE,Named
Advanced Manufacturing,Development Bank of Wales,4,Devolved Government,United Kingdom,,FALSE,Named
Advanced Manufacturing,Frontier Development Capital,4,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,Hostplus,4,Asset Management,Australia,,FALSE,Named
Advanced Manufacturing,Maven Capital Partners UK LLP,4,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Midven,4,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Molten Ventures,4,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Scottish Enterprise,4,Devolved Government,United Kingdom,,FALSE,Named
Advanced Manufacturing,Tencent,4,Corporate,China,,FALSE,Named
Advanced Manufacturing,Thompson Taraz,4,Asset Management,United Kingdom,,FALSE,Named
Advanced Manufacturing,Amadeus Capital Partners,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,BP,3,Corporate,United Kingdom,,FALSE,Named
Advanced Manufacturing,Cambridge Innovation Capital,3,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,Downing,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,EMV Capital PLC,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,FSE Group,3,Private Equity and Venture Capital,United Kingdom,,TRUE,Bank/Loan
Advanced Manufacturing,Foresight Group,3,Asset Management / Private Equity,United Kingdom,,TRUE,Named
Advanced Manufacturing,Goldman Sachs,3,Merchant Bank,United States,,FALSE,Named
Advanced Manufacturing,IQ Capital Partners,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,IQT,3,Private Equity and Venture Capital,United States,,FALSE,Named
Advanced Manufacturing,Lansdowne Partners,3,Asset Management,United Kingdom,,FALSE,Named
Advanced Manufacturing,Legal & General,3,Corporate,United Kingdom,UK pension funds,FALSE,Named
Advanced Manufacturing,Longwall Venture Partners,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Mustard Seed + Partners,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Oxford Innovation Finance,3,Angel Network,United Kingdom,,FALSE,Named
Advanced Manufacturing,University of Oxford,3,University,United Kingdom,,FALSE,Named
Advanced Manufacturing,Whiterock Finance,3,Specialist Lender,United Kingdom,,TRUE,Named
Advanced Manufacturing,YFM Equity Partners,3,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,3i,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,A.P. Moller Holding,2,Corporate,Denmark,,FALSE,Named
Advanced Manufacturing,ABB,2,Corporate,Switzerland,,FALSE,Named
Advanced Manufacturing,ABC Impact,2,Private Equity and Venture Capital,Singapore,,FALSE,Named
Advanced Manufacturing,Aioi Nissay Dowa Insurance,2,Corporate,United Kingdom,,FALSE,Named
Advanced Manufacturing,Albion Capital Group,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Allied Irish Bank / AIB Group,2,Family Office,United Kingdom,,FALSE,Bank/Loan
Advanced Manufacturing,Atlantic Bridge,2,Private Equity and Venture Capital,Ireland,,TRUE,Named
Advanced Manufacturing,Backed VC,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Bits x Bites,2,Private Equity and Venture Capital,China,,FALSE,Named
Advanced Manufacturing,Braavos Investment Advisers,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Cambridge Angels,2,Angel Network,United Kingdom,,FALSE,Named
Advanced Manufacturing,Capital for Colleagues,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Cibus Capital,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Citigroup,2,Bank,United States,,FALSE,Named
Advanced Manufacturing,Clay Capital,2,Private Equity and Venture Capital,Singapore,,FALSE,Named
Advanced Manufacturing,Crowdcube,2,Crowd funding,United Kingdom,,FALSE,Crowdfunding
Advanced Manufacturing,Entrepreneurs First,2,Accelerator,United Kingdom,,FALSE,Named
Advanced Manufacturing,Felix Capital,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Ingka Group,2,Corporate,Netherlands,,FALSE,Named
Advanced Manufacturing,Invesco,2,Asset Management,United States,,FALSE,Named
Advanced Manufacturing,Lancashire County Council,2,Local and Regional Government,United Kingdom,,FALSE,Named
Advanced Manufacturing,Lightrock,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,MMC Ventures,2,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,Maven Ventures,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,NEL Fund Managers,2,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,Northern Gritstone,2,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,Passion Capital,2,Private Equity and Venture Capital,United Kingdom,,TRUE,Named
Advanced Manufacturing,Quester Venture Partnership,2,Private Equity and Venture Capital,United Kingdom,,FALSE,Named
Advanced Manufacturing,Scottish EDGE,2,Charity/Not-for-profit company,United Kingdom,,FALSE,Named
Advanced Manufacturing,Secure Trust Commercial Finance,2,Bank,United Kingdom,,FALSE,Named
Advanced Manufacturing,SoftBank Group,2,Corporate,Japan,,FALSE,Bank/Loan
Advanced Manufacturing,Tata Steel,2,Corporate,India,,FALSE,Named
