Sector,Investor,Country,ISO2,InvestorType,PensionSWF,BBBBacked,CompaniesBackedInSector
Advanced Manufacturing,Business Angel(s),,,Business Angel(s),,FALSE,30
Advanced Manufacturing,Santander,Spain,es,Bank,,TRUE,8
Advanced Manufacturing,Deutsche Bank,Germany,cn,Private Equity and Venture Capital,,FALSE,4
Advanced Manufacturing,Hostplus,Australia,au,Asset Management,,FALSE,4
Advanced Manufacturing,Tencent,China,cn,Corporate,,FALSE,4
Advanced Manufacturing,Goldman Sachs,United States,us,Merchant Bank,,FALSE,3
Advanced Manufacturing,IQT,United States,us,Private Equity and Venture Capital,,FALSE,3
Advanced Manufacturing,A.P. Moller Holding,Denmark,dk,Corporate,,FALSE,2
Advanced Manufacturing,ABB,Switzerland,ch,Corporate,,FALSE,2
Advanced Manufacturing,ABC Impact,Singapore,sg,Private Equity and Venture Capital,,FALSE,2
Advanced Manufacturing,Atlantic Bridge,Ireland,ie,Private Equity and Venture Capital,,TRUE,2
Advanced Manufacturing,Bits x Bites,China,cn,Private Equity and Venture Capital,,FALSE,2
Advanced Manufacturing,Citigroup,United States,us,Bank,,FALSE,2
Advanced Manufacturing,Clay Capital,Singapore,sg,Private Equity and Venture Capital,,FALSE,2
Advanced Manufacturing,Ingka Group,Netherlands,nl,Corporate,,FALSE,2
Advanced Manufacturing,Invesco,United States,us,Asset Management,,FALSE,2
Advanced Manufacturing,SoftBank Group,Japan,jp,Corporate,,FALSE,2
Advanced Manufacturing,Tata Steel,India,in,Corporate,,FALSE,2
Advanced Manufacturing,Temasek Holdings,Singapore,sg,Sovereign Wealth Fund,SW Fund,FALSE,2
Advanced Manufacturing,ADM Capital,Hong Kong,hk,Private Equity and Venture Capital,,FALSE,1
Advanced Manufacturing,ADM Ventures,United States,us,Private Equity and Venture Capital,,FALSE,1
Advanced Manufacturing,ADQ,United Arab Emirates,ae,Central Government,,FALSE,1
Advanced Manufacturing,AIB,Ireland,ie,Bank,,FALSE,1
Advanced Manufacturing,AXA,France,fr,Corporate,,FALSE,1
Advanced Manufacturing,Accel Partners,United States,us,Private Equity and Venture Capital,,FALSE,1
