Sector,Investor,Latitude,Longitude,InvestorType,Country,PensionSWF,BBBBacked,CompaniesBackedInSector
Advanced Manufacturing,HSBC,51.507627,-0.09714,Bank,United Kingdom,,TRUE,31
Advanced Manufacturing,British Business Bank,53.382174,-1.472389,Central Government,United Kingdom,,FALSE,24
Advanced Manufacturing,IP Group,51.517285,-0.096031,Commercialisation Company,United Kingdom,,FALSE,14
Advanced Manufacturing,BGF (formerly Business Growth Fund),51.508771,-0.122916,Private Equity and Venture Capital,United Kingdom,,FALSE,12
Advanced Manufacturing,Lloyds Banking Group,53.809305,-1.680548,Private Equity and Venture Capital,United Kingdom,,FALSE,12
Advanced Manufacturing,Octopus Group,51.512038,-0.097431,Asset Management / Private Equity,United Kingdom,,FALSE,8
Advanced Manufacturing,Virgin Money UK,55.863326,-4.26009,Bank,United Kingdom,,FALSE,8
Advanced Manufacturing,Barclays,51.504924,-0.014381,Bank,United Kingdom,,TRUE,7
Advanced Manufacturing,NatWest Group,53.480414,-2.253286,Bank,United Kingdom,,TRUE,7
Advanced Manufacturing,Future Planet Capital,53.47944,-2.250206,Private Equity and Venture Capital,United Kingdom,,FALSE,6
Advanced Manufacturing,Phoenix Court Group,51.531187,-0.12952,Private Equity and Venture Capital,United Kingdom,,FALSE,6
Advanced Manufacturing,Mercia Asset Management,52.358937,-1.779514,Asset Management / Private Equity,United Kingdom,,TRUE,5
Advanced Manufacturing,Oxford Science Enterprises,51.755299,-1.257415,Commercialisation Company,United Kingdom,,FALSE,5
Advanced Manufacturing,Development Bank of Wales,51.483907,-3.191222,Devolved Government,United Kingdom,,FALSE,4
Advanced Manufacturing,Frontier Development Capital,52.482336,-1.900985,Private Equity and Venture Capital,United Kingdom,,TRUE,4
Advanced Manufacturing,Maven Capital Partners UK LLP,55.862675,-4.256424,Private Equity and Venture Capital,United Kingdom,,FALSE,4
Advanced Manufacturing,Midven,52.45994,-2.100544,Private Equity and Venture Capital,United Kingdom,,FALSE,4
Advanced Manufacturing,Molten Ventures,51.510289,-0.125044,Private Equity and Venture Capital,United Kingdom,,FALSE,4
Advanced Manufacturing,Scottish Enterprise,55.945754,-3.221459,Devolved Government,United Kingdom,,FALSE,4
Advanced Manufacturing,Thompson Taraz,52.208207,0.11994,Asset Management,United Kingdom,,FALSE,4
Advanced Manufacturing,Amadeus Capital Partners,52.209941,0.117535,Private Equity and Venture Capital,United Kingdom,,FALSE,3
Advanced Manufacturing,BP,51.507733,-0.134545,Corporate,United Kingdom,,FALSE,3
Advanced Manufacturing,Cambridge Innovation Capital,52.248533,0.081223,Private Equity and Venture Capital,United Kingdom,,TRUE,3
Advanced Manufacturing,Downing,51.503541,-0.12767,Private Equity and Venture Capital,United Kingdom,,FALSE,3
